,Bcells,CAFs,CD4_Tcells,CD8_Tcells,Endothelial,Macrophages,NKcells,otherCells
TCGA-BR-6455,0.014763864133484645,0.07648974068453089,0.0385037764747679,0.0008501754995805978,0.055832798915877474,0.03413013373348358,9.887029289532204e-13,0.7794295105572863
TCGA-BR-7196,0.06358351611990737,0.24090127265907604,0.04656612858788561,0.0,0.20472462107551487,0.031135508175588432,0.00017954031583596456,0.41290941306619167
TCGA-BR-8371,0.15697482005082736,0.04881286619946432,0.048806016361244355,0.0,0.07862288414211001,0.005860431043017966,9.23549104470075e-13,0.6609229822024124
TCGA-BR-8380,0.01921660265292816,0.19742597698491116,0.04096855714168444,0.0032316344577474126,0.1147632559406082,0.01351225768564131,9.408455040511477e-13,0.6108817151355386
TCGA-BR-8592,0.05652918955547049,0.22054571216484095,0.0655686000274571,0.0,0.1237805142094632,0.018182669378814815,9.515804529614063e-13,0.5153933146630019
TCGA-BR-8686,0.058141016943404,0.09405148240800239,0.07008378123759101,0.006456148198529627,0.12787918700657816,0.0409156721876259,1.0041930239498616e-12,0.6024727120172647
TCGA-BR-A4IV,0.00028602788349237556,0.9045812437715884,0.0,0.0,0.08601120607614277,0.009121522267845477,9.310754361895945e-13,-2.272075648451476e-16
TCGA-BR-A4J4,0.00816740617344923,0.18906117445255802,0.055632822787738394,0.0022751228389695285,0.02661447457508332,0.017436982141637355,9.497585457291182e-13,0.7008120170296144
TCGA-BR-A4J9,0.04775995041001703,0.07896383603830937,0.04350772454744717,0.003876144581806488,0.09146745190626174,0.005316249875165136,9.21904962969951e-13,0.7291086426400711
TCGA-FP-7916,0.11018515695250013,0.12916886257637084,0.08166228661821541,0.0,0.07447102471605511,0.052653741401722264,0.0008735817699975418,0.5509853459651388
