,Sample,B.cells,Macrophages.M1,Macrophages.M2,Monocytes,Neutrophils,NK.cells,T.cells.CD4,T.cells.CD8,Tregs,Dendritic.cells,Other
0,TCGA-BR-6455,0.007694238785649321,0.04117657123976025,0.04519260542271699,0.0,0.08531902756112056,0.01180943271390935,0.0,0.033795537368390714,0.03990975117180851,0.0,0.7351028357366443
1,TCGA-BR-7196,0.02356420876796919,0.08184126767237591,0.08568637489345851,0.0,0.017416212586021548,0.01396927507927407,0.0,0.024923166562597927,0.06243254959984169,0.0,0.6901669448384611
2,TCGA-BR-8371,0.06784532649574639,0.0,0.04680918530593195,0.015633909168724574,0.007072360712933024,0.005705991997284698,0.052311069992490834,0.00135453649178038,0.01008828330217817,0.0,0.79317933653293
3,TCGA-BR-8380,0.013610530699721441,0.02208187466829502,0.06391596007933187,0.006536028366028041,0.028323649648841057,0.017870476209586407,0.0045680452462302295,0.0021969074355495505,0.025139747299659496,0.0,0.8157567803467569
4,TCGA-BR-8592,0.02781306063202855,0.008197637626843366,0.06820613471601741,0.0037117101289302432,0.027096785666530603,0.011836344476339722,0.0359529698230912,0.0060166117309541954,0.025558361908414783,0.0,0.7856103832908499
5,TCGA-BR-8686,0.03638409830662582,0.02640203549712108,0.09168513238759435,0.002565361338155561,0.017788478258522464,0.011199727386476328,0.0,0.04037371772020286,0.07051929105894834,0.0,0.7030821580463532
6,TCGA-BR-A4IV,0.007934298596085939,0.02564715538878017,0.05133085511470084,0.0,0.018398298949615647,0.006391201751429712,0.022064352672935352,0.0,0.02565049018223665,0.004690119317390288,0.8378932280268253
7,TCGA-BR-A4J4,0.011219719243278704,0.03495042020028936,0.02959848289007705,0.0,0.05207946020403956,0.008904664350440572,0.0,0.00550289894120285,0.017556786004820264,0.0,0.8401875681658516
8,TCGA-BR-A4J9,0.018584335124180562,0.0014436756926035463,0.0381046225846592,0.01072400761660289,0.009764585937602606,0.004302852677685648,0.04771496136183243,0.00021950449844238478,0.020446051127020123,0.0,0.8486954033793705
9,TCGA-FP-7916,0.03364608324747702,0.06290801080009681,0.08866079998262516,0.007145120538382027,0.014569933344745918,0.006647983693992304,0.0,0.040977216229394715,0.08823408216211259,0.0,0.6572107700011734
