,ID,CD_8_T_effector,DDR,APM,Immune_Checkpoint,CellCycle_Reg,Pan_F_TBRs,Histones,EMT1,EMT2,EMT3,WNT_target,FGFR3_related,Cell_cycle,Mismatch_Repair,Homologous_recombination,Nucleotide_excision_repair,DNA_replication,Base_excision_repair,TMEscoreA_CIR,TMEscoreB_CIR,CD8_Rooney_et_al,Co_inhibition_T_cell_Rooney_et_al,T_cell_inflamed_GEP_Ayers_et_al,IFNG_signature_Ayers_et_al,MDSC_Wang_et_al,PPAGs,HLA_signature_gene,Cytotoxic_cells_Danaher_et_al,TIP_Priming_and_activation_1,TIP_Priming_and_activation_2,TIP_Recognition_of_cancer_cells_by_T_cells_1,TIP_Recognition_of_cancer_cells_by_T_cells_2,TIP_Killing_of_cancer_cells_1,TIP_Killing_of_cancer_cells_2,TMEscoreA_plus,Th2_cells_Bindea_et_al,CD8_T_cells_Bindea_et_al,Normal_mucosa_Bindea_et_al,Antigen_Processing_and_Presentation_Li_et_al,Antimicrobials_Li_et_al,Chemokines_Li_et_al,Cytokines_Li_et_al,Natural_Killer_Cell_Cytotoxicity_Li_et_al,TCR_signaling_Pathway_Li_et_al,TGFb_Family_Member_Li_et_al,ADP_Ribosylation,Purine_Metabolism,Pyrimidine_Metabolism,CD4_c0_Tcm,CD4_c1_Treg,CD4_c3_Tfh,CD4_c4_Tstr,CD4_c5_CTL,CD4_c7_Tn_TCEA3,CD8_c1_Tex,CD8_c2_Teff,CD8_c4_Tstr,Mph_04_TREM2,TMEscore_CIR
0,SAMf2ce197162ce,0.09515901096019996,4.842348824577218,7.95920760983952,0.814891066790875,6.076190464621694,6.5886831756933235,6.154832938234692,5.635648718581388,5.282650375972098,5.419563298836391,5.467247386973796,4.713524020372191,4.963641208266718,5.221453655426318,4.457561098522966,4.800732665989847,4.998461184043397,4.101846911456668,2.371411938049147,4.583706538977428,1.6188860245831436,1.1349714904823671,0.7641735832081465,-1.0836540058192756,2.172605977530487,7.7219439058678,0.03164178344652526,1.3533590440420393,0.814891066790875,0.814891066790875,4.294679453269876,0.8519101570410812,-1.276222038924047,3.074245945295444,1.9388176405901791,3.8186846116997497,3.959309587143097,7.928793908300541,3.9163704578176572,4.513273399198625,3.079879398520589,3.692881308417715,-1.276222038924047,0.7000755614724264,4.995622452529074,4.982583952390679,4.218357088330964,4.572615227739529,7.3621656552703785,1.7298974177162874,-0.6297565686465114,0.8242136515121116,1.3533590440420393,5.8184856503634625,-0.13759342757611143,2.504015120902834,0.8242136515121116,4.011564351826337,-2.2122946009282813
1,SAM698d8d76b934,1.3518487345692576,5.149830738241733,8.927718744211246,1.3252707814154034,5.566909353630111,5.459790935296976,6.769309596388772,5.194775426519666,3.8499711302939885,3.8530220769575316,5.127553923952013,0.14610912018514965,5.134106023168439,5.566587199668605,4.911901493794319,5.087129489370063,5.4440971589735625,4.690850851487123,4.020954476172831,2.8138562746284355,1.6570287330230642,1.5842823564431603,2.823966533694757,2.2859214724503505,1.7544216933385055,4.824086917667846,0.6238531322940235,1.3808999731005047,1.3252707814154034,1.3252707814154034,4.58573113631647,1.0462691143347684,0.8242828403312816,3.516622986442458,3.6899356895687316,4.825427337275451,3.60722636693136,7.061988567352841,5.694390178090275,4.647610392146334,3.4390653453294497,3.798157941446194,0.8242828403312816,1.849246927257192,3.6619029220134656,5.797094639644833,4.771012047041336,5.142241755715864,6.483525492736799,1.3198573186559919,0.30198415575247234,2.9012022337064836,1.3808999731005047,5.944429802180343,0.957763965667652,1.9205725430314053,2.9012022337064836,5.235841635224552,1.2070982015443952
2,SAMc1b27bc16435,2.1231906776155216,4.9665614287286335,8.00143968593494,1.134270822871868,5.633614941257249,5.5053730218505255,6.988201797837508,4.905356879913506,3.2280816937331713,3.2716790592803804,5.889313624412907,6.127852717359676,5.00470122743164,5.242494278132427,4.712597168485928,4.861949582063723,5.016822953975825,4.284210233622634,3.7894275093113894,3.3048654743064776,3.3429304014215786,1.5785468552428852,1.877409841012182,1.423120332667547,1.5391714195262909,7.359396656935556,0.5318558893778759,2.719733115274686,1.134270822871868,1.134270822871868,4.564818842090741,1.073226982800143,1.332193048334993,2.861122352009461,3.651745011914792,4.0955147321996215,4.957672344551926,6.232752785475856,5.453165650275225,5.278567633342448,3.479154421279379,3.6366748584881297,1.332193048334993,2.3968849325905763,3.4357962695855426,5.009569492239471,4.4316919086322715,4.835611983751178,6.20540555147815,2.572220819970088,0.22432767914515042,2.15933035794318,2.719733115274686,5.531509776454256,1.217809004111267,3.319064123346202,2.15933035794318,4.196959726038337,0.4845620350049118
3,SAM85e41e7f33f9,2.9877970127789872,4.862934747036854,9.199025653249167,2.177698732884382,5.760002821889943,6.344835471298084,6.918678169663349,5.2938166637046935,5.291402842855423,4.7247710418288476,4.905196571385335,4.9710451105533755,5.270923519640212,5.3524471152976,4.582074424655808,4.977866227224839,5.3133666197428795,4.356484405955471,4.655741405325605,4.002201705208362,4.01124637686596,2.6268608640500077,4.183649303685242,2.6989642944501075,3.0886867186448845,6.511599792346747,0.839621901375346,4.005484236384649,2.177698732884382,2.177698732884382,5.054897914631252,1.8693140155934862,2.4775564541993513,4.277823818471953,4.408789665890759,4.885319703569306,4.8228725178043526,8.29196599660794,6.165942824190149,5.525223504239026,3.7163271314995927,4.344872038661059,2.4775564541993513,2.5788579514591086,5.32349249821165,5.127313123709765,4.578731586581484,4.847046647532136,7.834056506567489,2.577784710045566,1.2314841527007603,3.5525859317321253,4.005484236384649,6.209183242759667,2.2037809822123515,3.852938848804348,3.5525859317321253,6.161193196865764,0.6535397001172427
4,SAMf275eb859a39,1.4927341090491622,4.7938893132495854,9.080574598587516,0.9511508270367441,5.583201309994623,4.810659014576191,4.887634356183104,4.084314571720262,2.677115991577157,2.876143276912203,5.298490891061295,6.720880669720006,4.576861312722628,4.777573074077025,4.224846270876314,4.625079101758058,4.297064400422502,4.2455362075766905,3.1636650277285847,2.780996733581399,2.495500135938708,1.2970249614753775,2.0542598605542928,1.0918520065034791,2.0931162105232155,7.140922893236816,0.6360846894223096,2.296726802677789,0.9511508270367441,0.9511508270367441,5.290434216870472,1.219352615767681,0.5046608835392946,2.8307120081702495,3.098207181073764,3.7905251393730275,4.128323799465944,5.367839973354866,5.486579547978177,5.186546819554077,2.9889059746878393,3.1195760948399984,0.5046608835392946,1.5163191157497011,3.2809123287675988,5.806943391880504,3.88105317736715,4.218205457729902,7.111156727805581,2.1017553073151345,-0.5984977747158885,2.276131849963949,2.296726802677789,5.901044812039774,0.5528711009575775,2.590805940626621,2.276131849963949,4.41349147578632,0.3826682941471855
5,SAM7f0d9cc7f001,1.2169480697495996,4.629341549479273,7.82597872069143,2.040469364151459,5.565561109706388,6.283133178283576,4.726760626028562,6.226386579656866,4.644565544727608,5.9977301382498895,4.896624425480182,2.7053069775770795,4.603026501222828,4.868240951652896,4.181954461260325,4.544048883317674,4.613447868020004,4.058695286143587,2.81850665415243,4.967913832563375,3.0486552227278025,2.330407545527618,1.2751868287262182,-0.8131986301515965,2.618653119610742,6.345352145883594,0.7341740967164606,2.546582025616395,2.040469364151459,2.040469364151459,4.7394174682399814,2.1753434084671976,-0.05801170478928386,3.3381892804630318,2.343353443758456,3.6071705119824378,5.232278030789713,8.410559452171292,4.468189038341039,4.603576673265822,2.081132897742298,3.0754833668961457,-0.05801170478928386,1.860170484941758,4.40427248783782,5.183684108262385,4.1576790608887295,4.43693011168488,7.410743113782549,3.296821671882364,1.1535603901803964,1.6814148592368083,2.546582025616395,5.917923531868381,1.2230984027371323,4.134677349831518,1.6814148592368083,3.5520985242887106,-2.1494071784109448
6,SAM4305ab968b90,-3.520986235234141,5.104482901742457,7.535699781315433,-2.3447450271158217,5.746862253553111,4.2425332694399644,7.010294006476141,3.42701175496756,1.9602198045102135,1.5051064010946087,5.3719276239222955,6.230163612049684,5.0475496454014905,5.5611066657440515,4.817515304341483,5.090432702090856,5.284443862933837,4.734392513462923,-0.2326722727741246,2.6670017583436847,-2.1965790500530114,-1.9549393052569708,-3.350087986590559,-4.8141937941834785,-0.3664718332447376,7.012492504879954,-2.8745450756536863,-2.890584112172649,-2.3447450271158217,-2.3447450271158217,2.6812939199962424,-3.1979026249703897,-3.4189049457463674,1.358920189274722,-0.8437613624090397,4.5410151356179735,1.593536136713792,5.044003937471719,3.755187120495601,3.0579694018612646,-2.4760541075458242,0.8021528662444548,-3.4189049457463674,-0.9946499119541988,2.7519439805913684,5.792625915542986,4.679140008351953,5.045532927803537,6.481222811107583,-0.18470783501296784,-2.455255261833202,1.9487150869187289,-2.890584112172649,5.871584875894585,-2.724618263735867,-0.9955605925915382,1.9487150869187289,-1.7801393967704753,-2.8996740311178093
7,SAMcf018fee2acd,0.9722020338328337,4.708789064501548,7.843207820917033,1.0349045292811048,5.462499803020452,4.954042188049364,4.785461371043741,4.972000981184972,3.258251043771298,4.548215770798342,5.267713639345843,5.497355150391418,4.549217559165427,4.835512682743483,4.214907238781834,4.646168526125469,4.356038702485388,4.109628368164665,2.884526480093441,3.6211925105817,2.351464309944067,1.4930915340159716,1.6883145977554233,-0.3152822760810601,1.915388701665839,6.662536968188976,0.6750399141304108,2.0089944809079454,1.0349045292811048,1.0349045292811048,4.571890105634488,0.8847479942425522,-0.0516380667948512,3.1367084956892746,2.2967106897437923,3.72601737628401,4.476428310912862,5.573082050910872,4.427728055536553,4.505353611754109,1.8475989038702014,2.935767655208783,-0.0516380667948512,1.2136097095960838,4.144826733419194,5.372852666365399,4.144246544855794,4.402322122157393,7.188110944955642,2.062971508706018,-0.18776084545718708,1.7264819558389763,2.0089944809079454,5.555570722947434,0.5207481485514273,3.351350749642052,1.7264819558389763,3.707666204250819,-0.7366660304882591
8,SAMb2f1d0e54ece,2.326007038670243,4.570182794187695,9.323571585432939,2.434158413091306,5.2792424902503825,7.2241792619291445,6.236821550347878,5.884102269335713,5.391912343258331,5.888249944908523,4.544926986387177,0.46967269560699204,4.702572028777047,4.921825647194842,4.27265600982789,4.627403101808302,4.724812494853942,4.248684593836088,4.414454933524233,6.0657238983619886,3.3474313612834607,2.536066567014335,2.576859464483695,2.180622457930905,3.646799170780373,6.50494092392519,1.1513567200597585,3.014367146857273,2.434158413091306,2.434158413091306,5.583810880534033,2.8418989438192486,1.6032366734287045,3.7637017807662887,3.9441988330555597,3.794578433393305,4.8273982660152885,9.324449642070837,6.148452696860053,5.452430054230631,3.974229719244548,4.686159810440255,1.6032366734287045,2.7631488402897237,5.5150272596592345,4.877123636874466,4.59229048022032,4.802782686786362,7.80283647635341,2.4993598802373707,0.8702269907139053,3.4257830434970127,3.014367146857273,5.975247318588183,1.7923876196603807,3.6104602649972013,3.4257830434970127,5.739680558718811,-1.6512689648377554
9,SAMcc4675f394a1,0.36752006266060344,4.649069219116046,7.710189973127928,-0.011692243031323895,4.983352462229182,5.622922834799058,3.660231576366929,5.161085129315431,3.864516776904663,4.735709484926333,5.004337397667106,5.373447630906714,4.375935322985719,4.794239206857502,4.177574361772499,4.584374767860703,4.273974427959556,4.069715113895167,2.3558606977173575,3.0176147745107866,1.950492171615619,0.17224838852781849,0.28383486628636706,-1.3533917737163736,1.4832149814650293,7.131972680390333,-0.6096198762203742,1.6766752700238843,-0.011692243031323895,-0.011692243031323895,3.788853331115827,-0.1636086294556061,-0.6503552424594273,2.7274247383542987,1.6717337530169167,3.4567247628711257,3.982608772823687,5.776767161649251,4.191584395580807,4.044380022190258,1.3847145998838817,2.9432130808890515,-0.6503552424594273,0.3913353371615895,4.978582354470476,5.122483025601299,4.173206024759998,4.434887415580574,7.092491395944705,0.3832493984490614,-1.3151694596590149,2.069274846711051,1.6766752700238843,5.4382793547757124,-0.4606503626757106,3.2008955703205526,2.069274846711051,3.0746419349493164,-0.6617540767934291
