,convergeCode,convergeMessage,RMSE_weighted,Root_mean_squared_geneExpr_weighted,spearmanR,spearmanP,pearsonR,pearsonP,regline_a_x,regline_b,regline_a_x_through0,sum_mRNAProportions
TCGA-BR-6455,0,nnls,83.42789104830231,171.98338457873308,0.7094275385880686,2.9345503758685777e-16,0.8574100669814808,1.89994986122836e-29,0.734190228161798,15.703676271468142,0.7646850347923352,0.2826793526082194
TCGA-BR-7196,0,nnls,156.21409307821455,447.5626414147626,0.7455004494768853,1.314881428700453e-18,0.9298029641567191,1.855728855557685e-43,0.8668376824777966,15.961647097200052,0.8781760247143454,0.6173497020973199
TCGA-BR-8371,0,nnls,121.54414978689087,159.48811643819965,0.6590351229526487,1.6154754181057087e-13,0.5596212203238947,2.0947255131007563e-09,0.36882444215698623,17.335648950105934,0.4192202546003991,0.3488318204496034
TCGA-BR-8380,0,nnls,158.14709667802197,387.61032611668855,0.7378880324388424,4.430621319564161e-18,0.9040658010895334,3.250483669449119e-37,0.8294003813805108,5.102998044557355,0.833531613514497,0.40919913878542996
TCGA-BR-8592,0,nnls,176.16449813284137,429.65556017302026,0.725710715401437,2.841192561030655e-17,0.902192530423768,7.860293936436215e-37,0.8302408219318974,2.1112147592030746,0.8318890861069015,0.5071717709521897
TCGA-BR-8686,0,nnls,111.99752874601748,214.61152862603993,0.6150055148582394,1.614192270496243e-11,0.8238320094471421,2.1063430961105956e-25,0.6954642289740263,17.35301056803222,0.7276604070338838,0.45408819142683615
TCGA-BR-A4IV,0,nnls,704.7706167098288,1791.8462584373967,0.8531945144687454,6.931420329137285e-29,0.9174829456662336,3.2468126380849152e-40,0.8207613778146975,135.4292568858876,0.8351636816392816,1.0000000000000002
TCGA-BR-A4J4,0,nnls,130.66634493592437,360.5514771938506,0.7028224598180416,7.232614437504279e-16,0.9279923204881501,6.034691533683464e-43,0.8534219628993749,22.514424016677776,0.868661235222591,0.3285856210238841
TCGA-BR-A4J9,0,nnls,196.14701273433977,244.65776385655013,0.6944067223890492,2.203799686040048e-15,0.5466528765683346,5.776305396588363e-09,0.32472458677770005,24.27355408184971,0.35724510520304786,0.2803714234912599
TCGA-FP-7916,0,nnls,130.27123791211892,273.1207096243957,0.6012980637428355,5.873018841598897e-11,0.8602924262374362,7.654919923588732e-30,0.7404389072959815,24.800073389025535,0.7724966396332602,0.5140201303671191
