,Bcells,CAFs,CD4_Tcells,CD8_Tcells,Endothelial,Macrophages,NKcells,otherCells
TCGA-BR-6455,0.013641754812370493,0.07039465347857711,0.03501037470596054,0.0007730400893442063,0.05138376071416244,0.11147576880680468,1e-12,0.7173206473917806
TCGA-BR-7196,0.05915964038971054,0.2232473778294638,0.04263579347800156,0.0,0.18972184882111434,0.10240218653303251,0.00018285504599709082,0.3826502979026801
TCGA-BR-8371,0.15527660348108369,0.048092419355463975,0.047508642569099396,0.0,0.07746246040229261,0.0204916946406638,1e-12,0.6511681795503965
TCGA-BR-8380,0.01865925572191496,0.19093620637005676,0.039146379967544685,0.0030878995801995935,0.1109907675505657,0.04637862959414829,1e-12,0.5908008612145701
TCGA-BR-8592,0.05427043056996587,0.21088972180664806,0.061945484040978084,0.0,0.1183611231906734,0.061705011342924276,1e-12,0.4928282290478103
TCGA-BR-8686,0.05289339508175247,0.08522180977861177,0.0627421761149762,0.005779836363613074,0.11587372650269742,0.13157724758418526,1e-12,0.5459118085731638
TCGA-BR-A4IV,0.000280646431049145,0.8840259567622645,0.0,0.0,0.08405672709585599,0.03163666970983054,1e-12,-2.220446049250313e-16
TCGA-BR-A4J4,0.007856099304493838,0.18113044289906247,0.05265954940839091,0.0021535298326670602,0.025498051523637166,0.059287948054632694,1e-12,0.6714143789761159
TCGA-BR-A4J9,0.04732751857562861,0.0779371270626536,0.042426721138026355,0.003779836959380238,0.0902781675634018,0.01862205219116922,1e-12,0.7196285765087401
TCGA-FP-7916,0.09757420896544335,0.11392946737183084,0.07116340382357175,0.0,0.06568490278001944,0.16482135008322313,0.0008467973430306014,0.48597986963288087
