,ID,Antigen_Processing_and_Presentation_Li_et_al,Antimicrobials_Li_et_al,Base_excision_repair,CD8_c1_Tex,CD_8_T_effector,CellCycle_Reg,Cell_cycle,Co_inhibition_T_cell_Rooney_et_al,Cytokines_Li_et_al,DDR,DNA_replication,EMT1,EMT2,EMT3,HLA_signature_gene,Homologous_recombination,Immune_Checkpoint,Mismatch_Repair,Nucleotide_excision_repair,Pan_F_TBRs,Purine_Metabolism,Pyrimidine_Metabolism,TCR_signaling_Pathway_Li_et_al,TIP_Killing_of_cancer_cells_2,TIP_Priming_and_activation_1,TIP_Priming_and_activation_2,TIP_Recognition_of_cancer_cells_by_T_cells_1,TMEscoreA_CIR,TMEscoreA_plus,TMEscoreB_CIR,TMEscore_CIR
0,SAM00b9e5c52da9,0.38547004937509644,0.3287860059197457,0.3088232547458202,-0.01304380929854777,0.01903890995311772,0.43713802685076625,0.4184790784348846,0.08717317678207044,0.27446716532075943,0.44951210613381987,0.3409725300163025,0.3821016493830027,0.3968756549729648,0.3177425068567165,0.03946706800673309,0.31883180493224245,0.05224323265934091,0.39104569460713645,0.3683261604550424,0.44054354081889835,0.2987619237652568,0.3348635214996362,0.09612733883368037,0.2236083710686983,0.05224323265934091,0.05224323265934091,0.3416683269262421,0.2335913412615424,0.2001405418062476,0.2733874749477052,-0.039796133686162805
1,SAM0257bbbbd388,0.3762837614185204,0.3376964890901866,0.34920316527644324,-0.07234631144466022,0.016016702052013526,0.43119523316516684,0.44857458907106496,-0.019031879947989765,0.16617392241060935,0.47206257319557277,0.4298394184442714,0.3958812765506579,0.19501960934152854,0.28321832675710407,-0.047874651467458514,0.3661799754236378,-0.049501552486400154,0.4401690057017833,0.38150135325123563,0.37659122380582677,0.31776507348067173,0.35688549476423204,0.07283106802903964,0.15141974966248287,-0.049501552486400154,-0.049501552486400154,0.30314011654569006,0.25252820985566415,0.20820234445129282,0.25922775123385144,-0.00669954137818729
2,SAM025b45c27e05,0.35770193236174125,0.3180054475329987,0.3069695436336371,-0.09219440934274334,-0.1055202223044536,0.4297153119999996,0.4231611798786181,0.021344023722834532,0.3121088871665789,0.45056689273162803,0.34816135886138877,0.4019429522588488,0.4527820742246871,0.395233440466947,-0.1298509953128742,0.32497841147409573,-0.01756584127630601,0.38187993928446445,0.3817903275959713,0.5380616198323102,0.30781173066649936,0.337335839944108,0.04628025112983129,0.2173645287618824,-0.01756584127630601,-0.01756584127630601,0.29883802842141827,0.18474818202263388,0.12474134590153733,0.4157943485676254,-0.23104616654499155
3,SAM032c642382a7,0.46855094853581775,0.3980057401894209,0.3359052610631649,0.1621333035943137,0.24937031388780276,0.4568817341481466,0.46496354619876196,0.2247564762759466,0.28556469815155355,0.4539596238170135,0.44729758269343695,0.39624439376165427,0.21732817005448624,0.27169841778249715,0.1535524506156583,0.37325967504651536,0.20462936407730678,0.4448737004252019,0.3850213687306064,0.3487866907322702,0.35984757687017027,0.38898095406799643,0.22595869444620398,0.3109741491004782,0.20462936407730678,0.20462936407730678,0.43094885057706783,0.3782257183434427,0.38576420366794617,0.12045740946187729,0.25776830888156543
4,SAM04c589eb3fb3,0.4518280178395461,0.4223587175479111,0.3322098123185136,0.04349661783364557,0.16051086539131,0.44072507077968986,0.4349611248499299,0.07029402525313307,0.2963666968776156,0.4414846290566781,0.3879707706212268,0.4304708250343274,0.32217435466828825,0.3445524570161897,0.07657236558441975,0.3521579564666145,0.057407107079224216,0.3986745840299781,0.38747793164933103,0.45944255840880405,0.36654099932830453,0.3746803197061848,0.15965540643854856,0.2703201828346736,0.057407107079224216,0.057407107079224216,0.36056047891372667,0.35006305367649015,0.3065140542142675,0.33587382245049496,0.014189231225995191
5,SAM0571f17f4045,0.49263035663904464,0.4183143615777035,0.3415287581601968,0.18225851507413646,0.29690019880795787,0.4013767367617994,0.43390076492942853,0.21593054052062052,0.25772652946722213,0.4708370405145795,0.40467869238270654,0.3629025064893073,0.14416429231301583,0.2603322640888702,0.20110664387797558,0.35966627297411197,0.20213847315167421,0.4228260669583136,0.37902951345511604,0.33283382589558064,0.3388544215230266,0.361514339162008,0.2866966421893677,0.336154680077111,0.20213847315167421,0.20213847315167421,0.41751822274176803,0.42789909059022335,0.40992752223547657,0.09318743494667972,0.33471165564354366
6,SAM065890737112,0.43717255468265853,0.37165134073066247,0.3176490455813583,0.0392643839513256,0.1460741672670354,0.4823235972615164,0.43967951730233334,0.07422029391061047,0.2114239160770308,0.466299270350196,0.3845742822659067,0.3225376583448147,0.12751667753690193,0.15488145269736076,0.05960187373846688,0.36555724657899497,0.03331877478866631,0.4097863392829568,0.3748276142414218,0.30186236396766286,0.3191428101159342,0.34923168201323934,0.1454139224038219,0.19851834434835652,0.03331877478866631,0.03331877478866631,0.3496954276778882,0.3631675488605249,0.32020993027553346,0.12296494794198244,0.24020260091854245
7,SAM0684af734db1,0.3242119118029535,0.3577181797400046,0.346272973651701,-0.20067853385658332,-0.09433686491022682,0.47492278855844205,0.4493827126304395,-0.0713052088784967,0.26336875142395993,0.473458432948087,0.40683226757338103,0.3670902306626407,0.18602852674109355,0.26216238295197253,-0.1608045423532141,0.36961781853715975,-0.10795770054573771,0.4370769746592465,0.4058727033977557,0.3881970133091094,0.35201587465644235,0.3758020915682983,0.007335576457748624,0.2011092828737291,-0.10795770054573771,-0.10795770054573771,0.2884262235532304,0.17531063829800184,0.1351124672745606,0.1989997904339419,-0.023689152135940056
8,SAM075e037d95bc,0.33483890016765644,0.3331597419253294,0.3266906267869379,-0.21448562510180716,-0.06251349289041896,0.49650146638703496,0.42363520597383625,-0.16731113650197105,0.2045539834624203,0.4630698597098292,0.35338991379968737,0.34933294012020694,0.11506972223757636,0.14276180552934123,-0.19478160771761702,0.34048895484780145,-0.19788789207256907,0.38868546647883473,0.3901062161803817,0.363677007578446,0.31979122378257074,0.3493159270757889,-0.01883762134020932,0.14804244687637066,-0.19788789207256907,-0.19788789207256907,0.28925339103131376,0.13582816039613724,0.1373427043817005,0.17829367071932858,-0.04246551032319135
9,SAM07a93a28f801,0.40959705156489784,0.34356753805481866,0.3441005809621184,-0.13697802430397601,-0.06348916280224953,0.4082423571336251,0.43047476735744333,-0.01036274286382943,0.2430234013512413,0.4686250719579862,0.4114486173710714,0.42156493158777325,0.2936844581000588,0.3470626876060399,-0.09344398066255755,0.3888654801486387,-0.0652527438783458,0.42719283578948586,0.383898131154646,0.44067527457216615,0.34262314421775814,0.367039603354944,0.05332095762268091,0.17005067554753533,-0.0652527438783458,-0.0652527438783458,0.27983852945793425,0.24968361081839402,0.18573732689827926,0.32801394370427195,-0.07833033288587793
